hour;Node 1;Node 2;Node 3;Node 4;Node 5;Node 6;Node 7;Node 8;People
9:00:00;465;558.6959715;565.5576493;575.4236486;676.1441543;445.7043109;609.1912553;546.8427812;27
9:01:00;460.625;556.9181937;560.5576493;568.8343629;640.5885987;454.6805014;617.7626839;552.8427812;27
9:02:00;460.5714286;550.5848603;554.4187604;563.5486486;618.6441543;449.5376443;610.5960172;554.5570669;27
9:03:00;457;564.4598603;555.5437604;561.7486486;648.8441543;444.9376443;596.4293506;558.6761145;27
9:04:00;454.25;560.7848603;564.9544747;578.8486486;633.1441543;443.5376443;604.0960172;567.0094479;27
9:05:00;455.7;559.4737492;561.5687604;582.2153153;620.4774876;445.8709776;629.2626839;579.0094479;27
9:06:00;457;562.5848603;567.2937604;584.7986486;608.0191543;447.2043109;630.7626839;580.5094479;27
9:07:00;456.5454545;567.1848603;562.6687604;584.7708709;614.3663765;447.3947871;621.5960172;583.1761145;27
9:08:00;455.3;564.8848603;564.2937604;580.4236486;630.4441543;444.2043109;626.7626839;587.4427812;27
9:09:00;454.5555556;562.5848603;563.0020937;581.1736486;622.8441543;443.5376443;635.9626839;591.6999241;27
9:10:00;456.25;562.251527;557.4465382;589.6597598;616.0330432;443.5376443;624.4293506;593.8427812;27
9:11:00;456.7777778;566.6848603;550.8909826;583.9236486;607.5191543;442.5376443;618.2626839;593.3427812;27
9:12:00;456.7777778;563.8070826;544.1687604;577.9930931;597.5885987;442.5376443;610.7626839;591.0094479;27
9:13:00;459.2;556.8348603;540.6687604;568.7708709;585.6441543;442.5376443;593.5126839;596.8427812;27
9:14:00;459.6666667;551.1848603;531.4187604;561.0486486;584.4441543;442.5376443;580.7626839;595.4142098;27
9:15:00;457.5833333;544.8848603;533.9187604;556.1486486;612.7441543;442.5376443;582.0960172;592.8427812;27
9:16:00;454.4444444;538.4848603;536.0687604;549.7486486;603.2441543;442.0931998;583.2071283;586.2713526;27
9:17:00;451.1818182;533.7098603;528.9187604;542.2153153;596.2552654;441.5376443;579.7626839;578.6761145;27
9:18:00;451.3333333;528.251527;523.2687604;536.9236486;587.0330432;441.5376443;571.5960172;574.8427812;27
9:19:00;446.5555556;531.0293048;520.2243159;531.5486486;579.4441543;441.5376443;557.2626839;572.6761145;27
9:20:00;442.2727273;535.0848603;518.5576493;531.5486486;573.8441543;441.5376443;552.5960172;569.0094479;27
9:21:00;439.4444444;533.9181937;515.9687604;532.9486486;567.3941543;441.0376443;545.9626839;565.8427812;27
9:22:00;439;533.3848603;515.7687604;530.7708709;562.6441543;440.9126443;551.5960172;564.0094479;27
9:23:00;439;531.2848603;512.7937604;529.9486486;558.2691543;441.1090728;564.0960172;564.0094479;27
9:24:00;439;530.6959715;511.1132048;526.7708709;553.1441543;440.5376443;565.1912553;563.8427812;27
9:25:00;439;529.1848603;511.7798715;523.5486486;545.6441543;440.5376443;557.3626839;562.9856383;27
9:26:00;439;528.6848603;511.9187604;522.1736486;540.1441543;440.5376443;545.2626839;559.3427812;27
9:27:00;439;527.9181937;512.8909826;518.1042042;535.2552654;440.5376443;552.905541;552.2713526;27
9:28:00;439;526.6848603;511.7687604;513.9236486;528.5191543;440.5376443;553.1912553;544.9856383;27
